id,rank,country,vehicle_type,type,status,column_index,row_index,predecessor,order_in_folder,have_prem_flag
us_m2a4,1,usa,Наземная техника,vehicle,standard,0,0,,,False
us_m3_stuart,1,usa,Наземная техника,vehicle,standard,0,1,us_m2a4,,False
us_m3a1_stuart,1,usa,Наземная техника,vehicle,standard,0,2,us_m3_stuart,,False
us_m5a1_stuart,2,usa,Наземная техника,vehicle,standard,0,0,,,False
us_m24_chaffee,2,usa,Наземная техника,vehicle,standard,0,1,us_m5a1_stuart,,False
us_m18_hellcat,3,usa,Наземная техника,vehicle,standard,0,0,us_m24_chaffee,,False
us_m41_walker_bulldog,4,usa,Наземная техника,vehicle,standard,0,0,us_m18_hellcat,,False
us_t92,4,usa,Наземная техника,vehicle,standard,0,1,us_m41_walker_bulldog,,False
us_m551,5,usa,Наземная техника,vehicle,standard,0,0,us_t92,,False
us_xm_800t,6,usa,Наземная техника,vehicle,standard,0,0,us_m551,,False
us_m3_bradley,6,usa,Наземная техника,vehicle,standard,0,1,us_xm_800t,,False
us_stingray,6,usa,Наземная техника,vehicle,standard,0,2,us_m3_bradley,,False
us_m3a3_bradley,7,usa,Наземная техника,vehicle,standard,0,0,us_stingray,,False
us_hstv_l,7,usa,Наземная техника,vehicle,standard,0,1,us_m3a3_bradley,,False
us_m2_medium,1,usa,Наземная техника,vehicle,standard,1,0,,,False
us_m3_lee,2,usa,Наземная техника,vehicle,standard,1,0,,,False
us_sherman_group,2,usa,Наземная техника,folder,standard,1,1,us_m3_lee,,False
us_m4a1_1942_sherman,2,usa,Наземная техника,vehicle,standard,1,1,us_sherman_group,0,False
us_m4_sherman,2,usa,Наземная техника,vehicle,standard,1,1,us_m4a1_1942_sherman,1,False
us_m4a2_sherman,2,usa,Наземная техника,vehicle,standard,1,1,us_m4_sherman,2,False
us_m4a1_76w_sherman,3,usa,Наземная техника,vehicle,standard,1,0,us_sherman_group,,False
us_sherman_76w_group,3,usa,Наземная техника,folder,standard,1,1,us_m4a1_76w_sherman,,False
us_m4a2_76w_sherman,3,usa,Наземная техника,vehicle,standard,1,1,us_sherman_76w_group,0,False
us_m4a3e8_76w_sherman,3,usa,Наземная техника,vehicle,standard,1,1,us_m4a2_76w_sherman,1,False
us_t26_t25_group,4,usa,Наземная техника,folder,standard,1,0,us_sherman_76w_group,,False
us_m4_t26,4,usa,Наземная техника,vehicle,standard,1,0,us_t26_t25_group,0,False
us_t25,4,usa,Наземная техника,vehicle,standard,1,0,us_m4_t26,1,False
us_m26_pershing,4,usa,Наземная техника,vehicle,standard,1,1,us_t26_t25_group,,False
us_m46_patton,4,usa,Наземная техника,vehicle,standard,1,2,us_m26_pershing,,False
us_m47_48_group,5,usa,Наземная техника,folder,standard,1,0,us_m46_patton,,False
us_m47_patton_ii,5,usa,Наземная техника,vehicle,standard,1,0,us_m47_48_group,0,False
us_m48a1_patton_iii,5,usa,Наземная техника,vehicle,standard,1,0,us_m47_patton_ii,1,False
us_m60,5,usa,Наземная техника,vehicle,standard,1,1,us_m47_48_group,,False
us_m60_group,6,usa,Наземная техника,folder,standard,1,0,us_m60,,False
us_m60a1,6,usa,Наземная техника,vehicle,standard,1,0,us_m60_group,0,False
us_m60a1_rise_passive_era,6,usa,Наземная техника,vehicle,standard,1,0,us_m60a1,1,False
us_m60a3_tts,6,usa,Наземная техника,vehicle,standard,1,1,us_m60_group,,False
us_m60_120s,7,usa,Наземная техника,vehicle,standard,1,0,us_m60a3_tts,,False
us_m1a1_hc_abrams,7,usa,Наземная техника,vehicle,standard,1,1,us_m60_120s,,False
us_lvt_a_1,1,usa,Наземная техника,vehicle,standard,2,0,,,False
us_m22_locust,1,usa,Наземная техника,vehicle,standard,2,1,us_lvt_a_1,,False
us_m6_group,3,usa,Наземная техника,folder,standard,2,0,,,False
us_m6a1,3,usa,Наземная техника,vehicle,standard,2,0,us_m6_group,0,False
us_t1e1,3,usa,Наземная техника,vehicle,standard,2,0,us_m6a1,1,False
us_m4a3e2_sherman_jumbo,3,usa,Наземная техника,vehicle,standard,2,1,us_m6_group,,False
us_t1e1_90,3,usa,Наземная техника,vehicle,standard,2,2,us_m4a3e2_sherman_jumbo,,False
us_m4a3e2_76w_sherman_jumbo,4,usa,Наземная техника,vehicle,standard,2,0,us_t1e1_90,,False
us_t26_group,4,usa,Наземная техника,folder,standard,2,1,us_m4a3e2_76w_sherman_jumbo,,False
us_t26e5,4,usa,Наземная техника,vehicle,standard,2,1,us_t26_group,0,False
us_t26e4_superpershing,4,usa,Наземная техника,vehicle,standard,2,1,us_t26e5,1,False
us_t34,4,usa,Наземная техника,vehicle,standard,2,2,us_t26_group,,False
us_t32_group,5,usa,Наземная техника,folder,standard,2,0,us_t34,,False
us_t32,5,usa,Наземная техника,vehicle,standard,2,0,us_t32_group,0,False
us_t32e1,5,usa,Наземная техника,vehicle,standard,2,0,us_t32,1,False
us_m103,5,usa,Наземная техника,vehicle,standard,2,1,us_t32_group,,False
us_t95e1,6,usa,Наземная техника,vehicle,standard,2,0,us_m103,,False
us_mbt_xm_group,6,usa,Наземная техника,folder,standard,2,1,us_t95e1,,False
us_xm_803,6,usa,Наземная техника,vehicle,standard,2,1,us_mbt_xm_group,0,False
us_mbt_70,6,usa,Наземная техника,vehicle,standard,2,1,us_xm_803,1,False
us_m1_abrams,7,usa,Наземная техника,vehicle,standard,2,0,us_mbt_xm_group,,False
us_abrams_group,7,usa,Наземная техника,folder,standard,2,1,us_m1_abrams,,False
us_m1a1_abrams,7,usa,Наземная техника,vehicle,standard,2,1,us_abrams_group,0,False
us_m1_ip_abrams,7,usa,Наземная техника,vehicle,standard,2,1,us_m1a1_abrams,1,False
us_abrams_a2_group,8,usa,Наземная техника,folder,standard,2,0,us_abrams_group,,False
us_m1a2_abrams,8,usa,Наземная техника,vehicle,standard,2,0,us_abrams_a2_group,0,False
us_m1a2_sep_abrams,8,usa,Наземная техника,vehicle,standard,2,0,us_m1a2_abrams,1,False
us_m1a2_sep2_abrams,8,usa,Наземная техника,vehicle,standard,2,1,us_abrams_a2_group,,False
us_halftrack_m13,1,usa,Наземная техника,vehicle,standard,3,0,,,False
us_halftrack_m15,1,usa,Наземная техника,vehicle,standard,3,1,us_halftrack_m13,,False
us_halftrack_m16,2,usa,Наземная техника,vehicle,standard,3,0,,,False
us_t77e1,2,usa,Наземная техника,vehicle,standard,3,1,us_halftrack_m16,,False
us_m19_m42_group,3,usa,Наземная техника,folder,standard,3,0,us_t77e1,,False
us_m19,3,usa,Наземная техника,vehicle,standard,3,0,us_m19_m42_group,0,False
us_m42_duster,3,usa,Наземная техника,vehicle,standard,3,0,us_m19,1,False
us_skink_aa,4,usa,Наземная техника,vehicle,standard,3,0,us_m19_m42_group,,False
us_m163_vulcan,5,usa,Наземная техника,vehicle,standard,3,0,us_skink_aa,,False
us_xm246,6,usa,Наземная техника,vehicle,standard,3,0,us_m163_vulcan,,False
us_m247,6,usa,Наземная техника,vehicle,standard,3,1,us_xm246,,False
us_mim_72_chaparral,6,usa,Наземная техника,vehicle,standard,3,2,us_m247,,False
us_lav_ad,7,usa,Наземная техника,vehicle,standard,3,0,us_mim_72_chaparral,,False
us_xm_975_roland,7,usa,Наземная техника,vehicle,standard,3,1,us_lav_ad,,False
us_adats_bradley,8,usa,Наземная техника,vehicle,standard,3,0,us_xm_975_roland,,False
us_sl_amraam_fcs,8,usa,Наземная техника,vehicle,standard,3,1,us_adats_bradley,,False
us_m2a2,1,usa,Наземная техника,vehicle,standard,4,0,,,False
us_m8_scott,1,usa,Наземная техника,vehicle,standard,4,1,us_m2a2,,False
us_halftrack_m3_75mm_gmc,1,usa,Наземная техника,vehicle,standard,4,2,us_m8_scott,,False
us_m4a3_105_sherman,2,usa,Наземная техника,vehicle,standard,4,0,,,False
us_m10,2,usa,Наземная техника,vehicle,standard,4,1,us_m4a3_105_sherman,,False
us_m44,3,usa,Наземная техника,vehicle,standard,4,0,us_m10,,False
us_m55,3,usa,Наземная техника,vehicle,standard,4,1,us_m44,,False
us_m36_group,1,usa,Наземная техника,folder,standard,4,3,us_m55,,False
us_m36,3,usa,Наземная техника,vehicle,standard,0,0,futurereqair,1,False
us_m36b2,3,usa,Наземная техника,vehicle,standard,0,0,us_m36,2,False
us_m109a1,4,usa,Наземная техника,vehicle,standard,4,0,us_m36_group,,False
us_m56_scorpion,4,usa,Наземная техника,vehicle,standard,4,1,us_m109a1,,False
us_m50_ontos,4,usa,Наземная техника,vehicle,standard,4,2,us_m56_scorpion,,False
us_t95,5,usa,Наземная техника,vehicle,standard,4,0,us_m50_ontos,,False
us_m60a2,6,usa,Наземная техника,vehicle,standard,4,0,us_t95,,False
us_m1128_mgs,7,usa,Наземная техника,vehicle,standard,4,0,us_m60a2,,False
us_m2a4_1st_armor_div,1,usa,Наземная техника,vehicle,premium,0,0,,,False
us_lvt_a_4,1,usa,Наземная техника,vehicle,premium,0,1,,,True
us_m3a1_stuart_usmc,1,usa,Наземная техника,vehicle,premium,0,2,,,True
us_m5a1_stuart_canadian_5st_arm,2,usa,Наземная техника,vehicle,premium,0,0,,,True
us_mk1_grant,2,usa,Наземная техника,vehicle,premium,0,1,,,False
us_m4a5_ram_2,2,usa,Наземная техника,vehicle,premium,0,2,,,False
us_m24_chaffee_tl,2,usa,Наземная техника,vehicle,premium,0,3,,,True
us_m4_sherman_promo,2,usa,Наземная техника,vehicle,premium,0,4,,,True
us_t14,3,usa,Наземная техника,vehicle,premium,0,0,,,False
us_m4a3e2_sherman_jumbo_cobra_king,3,usa,Наземная техника,vehicle,premium,0,1,,,False
us_kit_3rank_group,3,usa,Наземная техника,folder,premium,0,2,,,False
us_m4a3e8_76w_sherman_kit_3rank,3,usa,Наземная техника,vehicle,premium,0,2,,0,True
us_m18_hellcat_kit_3rank,3,usa,Наземная техника,vehicle,premium,0,2,,1,True
us_skink_aa_kit_3rank,3,usa,Наземная техника,vehicle,premium,0,2,,2,True
us_m18_super_hellcat,4,usa,Наземная техника,vehicle,premium,0,0,,,False
us_t20,4,usa,Наземная техника,vehicle,premium,0,1,,,False
us_m26_t99,4,usa,Наземная техника,vehicle,premium,0,2,,,False
us_m26e1_pershing,4,usa,Наземная техника,vehicle,premium,0,3,,,True
us_m46_patton_73_armor_bat,4,usa,Наземная техника,vehicle,premium,0,4,,,False
us_m728,5,usa,Наземная техника,vehicle,premium,0,0,,,True
us_t54e2,5,usa,Наземная техника,vehicle,premium,0,1,,,False
us_t54e1,5,usa,Наземная техника,vehicle,premium,0,2,,,False
us_t58,5,usa,Наземная техника,vehicle,premium,0,3,,,True
us_m901_itv,6,usa,Наземная техника,vehicle,premium,0,0,,,True
us_xm1_chrysler,6,usa,Наземная техника,vehicle,premium,0,1,,,True
us_xm1_gm,6,usa,Наземная техника,vehicle,premium,0,2,,,True
us_m1128_wolfpack,7,usa,Наземная техника,vehicle,premium,0,0,,,False
us_m1_abrams_kvt,7,usa,Наземная техника,vehicle,premium,0,1,,,True
us_m1a1_aim_abrams,7,usa,Наземная техника,vehicle,premium,0,2,,,True
us_m1a1_hc_usmc,7,usa,Наземная техника,vehicle,premium,0,3,,,True
us_rdf_lt,7,usa,Наземная техника,vehicle,premium,0,4,,,True
us_lvt_a_1_trb,1,usa,Наземная техника,vehicle,premium,1,0,,,True
us_m8_greyhound,1,usa,Наземная техника,vehicle,premium,1,1,,,True
us_lvt_4_zis_2,2,usa,Наземная техника,vehicle,premium,1,0,,,True
us_m5a1_stuart_td,2,usa,Наземная техника,vehicle,premium,1,1,,,True
us_m8a1,2,usa,Наземная техника,vehicle,premium,1,2,,,True
us_t18_e2,2,usa,Наземная техника,vehicle,premium,1,3,,,True
us_m4_sherman_calliope,3,usa,Наземная техника,vehicle,premium,1,0,,,False
us_t55e1,3,usa,Наземная техника,vehicle,premium,1,1,,,True
us_t86,3,usa,Наземная техника,vehicle,premium,1,2,,,True
us_m18_hellcat_black_cat,3,usa,Наземная техника,vehicle,premium,1,3,,,False
us_t28,4,usa,Наземная техника,vehicle,premium,1,0,,,False
us_m551_76,4,usa,Наземная техника,vehicle,premium,1,1,,,True
us_t30,4,usa,Наземная техника,vehicle,premium,1,2,,,True
us_m6a2e1,4,usa,Наземная техника,vehicle,premium,1,3,,,True
us_t29,4,usa,Наземная техника,vehicle,premium,1,4,,,True
us_t114,5,usa,Наземная техника,vehicle,premium,1,0,,,False
us_magach_3,5,usa,Наземная техника,vehicle,premium,1,1,,,True
us_merkava_mk_1,6,usa,Наземная техника,vehicle,premium,1,0,,,True
us_merkava_mk_2b_late,6,usa,Наземная техника,vehicle,premium,1,1,,,True
us_xm_8,6,usa,Наземная техника,vehicle,premium,1,2,,,True
us_ccvl,7,usa,Наземная техника,vehicle,premium,1,0,,,True
us_m60a3_slep,7,usa,Наземная техника,vehicle,premium,1,1,,,True
us_losat_ccv,7,usa,Наземная техника,vehicle,premium,1,2,,,True
us_ags_teledyne,7,usa,Наземная техника,vehicle,premium,1,3,,,True
us_merkava_mk_3d,7,usa,Наземная техника,vehicle,premium,1,4,,,True
ah_1g,5,usa,Вертолёты,vehicle,standard,0,0,,,False
uh_1b,5,usa,Вертолёты,vehicle,standard,0,1,ah_1g,,False
uh_1c,5,usa,Вертолёты,vehicle,standard,0,2,uh_1b,,False
ah_1f,6,usa,Вертолёты,vehicle,standard,0,0,uh_1c,,False
ah_1w,6,usa,Вертолёты,vehicle,standard,0,1,ah_1f,,False
ah_1z,7,usa,Вертолёты,vehicle,standard,0,0,ah_1w,,False
ah_6m,6,usa,Вертолёты,vehicle,standard,1,0,,,False
oh_58d,6,usa,Вертолёты,vehicle,standard,1,1,ah_6m,,False
mh_60l_dap,7,usa,Вертолёты,vehicle,standard,1,0,oh_58d,,False
ah_64a,6,usa,Вертолёты,vehicle,standard,2,0,,,False
ah_64d,7,usa,Вертолёты,vehicle,standard,2,0,ah_64a,,False
ah_64e,7,usa,Вертолёты,vehicle,standard,2,1,ah_64d,,False
h_34,5,usa,Вертолёты,vehicle,premium,0,0,,,True
uh_1c_xm_30,5,usa,Вертолёты,vehicle,premium,0,1,,,True
yah_64,6,usa,Вертолёты,vehicle,premium,0,0,,,True
ah_64a_greece_usa,6,usa,Вертолёты,vehicle,premium,0,1,,,True
ah_64a_peten,6,usa,Вертолёты,vehicle,premium,0,2,,,True
rah_66,6,usa,Вертолёты,vehicle,premium,0,3,,,True
p-26a_34_m2,1,usa,Авиация,vehicle,standard,0,0,,,False
p-26_group,1,usa,Авиация,folder,standard,0,1,p-26a_34_m2,,False
p-26a_33,1,usa,Авиация,vehicle,standard,0,1,p-26_group,0,False
p-26b_35,1,usa,Авиация,vehicle,standard,0,1,p-26a_33,1,False
p-400,2,usa,Авиация,vehicle,standard,0,0,,,False
p-38_group,2,usa,Авиация,folder,standard,0,1,p-400,,False
p-38e,2,usa,Авиация,vehicle,standard,0,1,p-38_group,0,False
p-38g,2,usa,Авиация,vehicle,standard,0,1,p-38e,1,False
p-39_group,2,usa,Авиация,folder,standard,0,2,p-38_group,,False
p-39n,2,usa,Авиация,vehicle,standard,0,2,p-39_group,0,False
p-39q_5,2,usa,Авиация,vehicle,standard,0,2,p-39n,1,False
p-63a-5,3,usa,Авиация,vehicle,standard,0,0,p-39_group,,False
p-63_group,3,usa,Авиация,folder,standard,0,1,p-63a-5,,False
p-63a-10,3,usa,Авиация,vehicle,standard,0,1,p-63_group,0,False
