Запуск парсера shop.blkx...
Порог для определения премиумных колонок: 50.0%
Обработка slave-юнитов: отключена
Загрузка данных из: https://cdn.jsdelivr.net/gh/gszabi99/War-Thunder-Datamine@master/char.vromfs.bin_u/config/shop.blkx
Данные успешно загружены
Сбор master-slave пар...
        ОТЛАДКА: get_group_items добавлен us_m4a1_1942_sherman с order=0
        ОТЛАДКА: get_group_items добавлен us_m4_sherman с order=1
        ОТЛАДКА: get_group_items добавлен us_m4a2_sherman с order=2
        ОТЛАДКА: get_group_items добавлен us_m4a2_76w_sherman с order=0
        ОТЛАДКА: get_group_items добавлен us_m4a3e8_76w_sherman с order=1
        ОТЛАДКА: get_group_items добавлен us_m4_t26 с order=0
        ОТЛАДКА: get_group_items добавлен us_t25 с order=1
        ОТЛАДКА: get_group_items добавлен us_m47_patton_II с order=0
        ОТЛАДКА: get_group_items добавлен us_m48a1_patton_III с order=1
        ОТЛАДКА: get_group_items добавлен us_m60a1 с order=0
        ОТЛАДКА: get_group_items добавлен us_m60a1_rise_passive_era с order=1
        ОТЛАДКА: get_group_items добавлен us_m6a1 с order=0
        ОТЛАДКА: get_group_items добавлен us_t1e1 с order=1
        ОТЛАДКА: get_group_items добавлен us_t26e5 с order=0
        ОТЛАДКА: get_group_items добавлен us_t26e4_superpershing с order=1
        ОТЛАДКА: get_group_items добавлен us_t32 с order=0
        ОТЛАДКА: get_group_items добавлен us_t32e1 с order=1
        ОТЛАДКА: get_group_items добавлен us_xm_803 с order=0
        ОТЛАДКА: get_group_items добавлен us_mbt_70 с order=1
        ОТЛАДКА: get_group_items добавлен us_m1a1_abrams с order=0
        ОТЛАДКА: get_group_items добавлен us_m1_ip_abrams с order=1
        ОТЛАДКА: get_group_items добавлен us_m1a2_abrams с order=0
        ОТЛАДКА: get_group_items добавлен us_m1a2_sep_abrams с order=1
        ОТЛАДКА: get_group_items добавлен us_m19 с order=0
        ОТЛАДКА: get_group_items добавлен us_m42_duster с order=1
    Найдена пара: us_sl_amraam_fcs -> us_sl_amraam_launcher
        ОТЛАДКА: get_group_items добавлен us_m36 с order=0
        ОТЛАДКА: get_group_items добавлен us_m36b2 с order=1
        ОТЛАДКА: Элемент группы isCrossPromo имеет тип <class 'bool'>: True
        ОТЛАДКА: get_group_items добавлен isCrossPromo с order=0
        ОТЛАДКА: Элемент группы crossPromoBanner имеет тип <class 'str'>: #ui/images/crosspromo_popup_locked
        ОТЛАДКА: get_group_items добавлен crossPromoBanner с order=1
        ОТЛАДКА: get_group_items добавлен us_m4a3e8_76w_sherman_kit_3rank с order=0
        ОТЛАДКА: get_group_items добавлен us_m18_hellcat_kit_3rank с order=1
        ОТЛАДКА: get_group_items добавлен us_skink_aa_kit_3rank с order=2
        ОТЛАДКА: get_group_items добавлен p-26a_33 с order=0
        ОТЛАДКА: get_group_items добавлен p-26b_35 с order=1
        ОТЛАДКА: get_group_items добавлен p-38e с order=0
        ОТЛАДКА: get_group_items добавлен p-38g с order=1
        ОТЛАДКА: get_group_items добавлен p-39n с order=0
        ОТЛАДКА: get_group_items добавлен p-39q_5 с order=1
        ОТЛАДКА: get_group_items добавлен p-63a-10 с order=0
        ОТЛАДКА: get_group_items добавлен p-63c-5 с order=1
        ОТЛАДКА: get_group_items добавлен p-38j с order=0
        ОТЛАДКА: get_group_items добавлен p-38l с order=1
        ОТЛАДКА: get_group_items добавлен f-104a с order=0
        ОТЛАДКА: get_group_items добавлен f-104c с order=1
        ОТЛАДКА: get_group_items добавлен f_16a_block_10 с order=0
        ОТЛАДКА: get_group_items добавлен f_16a_block_15_adf с order=1
        ОТЛАДКА: get_group_items добавлен p-40e с order=0
        ОТЛАДКА: get_group_items добавлен p-40f_10 с order=1
        ОТЛАДКА: get_group_items добавлен p-51_mk1a_usaaf с order=0
        ОТЛАДКА: get_group_items добавлен p-51d-5 с order=1
        ОТЛАДКА: get_group_items добавлен p-47d_22_re с order=0
        ОТЛАДКА: get_group_items добавлен p-47d с order=1
        ОТЛАДКА: get_group_items добавлен p-47d-28 с order=0
        ОТЛАДКА: get_group_items добавлен p-47n-15 с order=1
        ОТЛАДКА: get_group_items добавлен f-84b с order=0
        ОТЛАДКА: get_group_items добавлен f-84g с order=1
        ОТЛАДКА: get_group_items добавлен f-86a-5 с order=0
        ОТЛАДКА: get_group_items добавлен f-86f-25 с order=1
        ОТЛАДКА: get_group_items добавлен f4f-3 с order=0
        ОТЛАДКА: get_group_items добавлен f4f-4 с order=1
        ОТЛАДКА: get_group_items добавлен f6f-3 с order=2
        ОТЛАДКА: get_group_items добавлен f4u-1a с order=0
        ОТЛАДКА: get_group_items добавлен f4u-1a_usmc с order=1
        ОТЛАДКА: get_group_items добавлен f4u-1d с order=2
        ОТЛАДКА: get_group_items добавлен f4u-1c с order=0
        ОТЛАДКА: get_group_items добавлен f4u-4b с order=1
        ОТЛАДКА: get_group_items добавлен f8f1b с order=0
        ОТЛАДКА: get_group_items добавлен f7f1 с order=1
        ОТЛАДКА: get_group_items добавлен f9f-2 с order=0
        ОТЛАДКА: get_group_items добавлен f9f-5 с order=1
        ОТЛАДКА: get_group_items добавлен f9f-8 с order=2
        ОТЛАДКА: get_group_items добавлен f_14a_early с order=0
        ОТЛАДКА: get_group_items добавлен f_14b с order=1
        ОТЛАДКА: get_group_items добавлен os2u_1 с order=0
        ОТЛАДКА: get_group_items добавлен os2u_3 с order=1
        ОТЛАДКА: get_group_items добавлен sb2u-2 с order=0
        ОТЛАДКА: get_group_items добавлен sb2u-3 с order=1
        ОТЛАДКА: get_group_items добавлен tbf-1c с order=0
        ОТЛАДКА: get_group_items добавлен sbd-3 с order=1
        ОТЛАДКА: get_group_items добавлен sb2c_1c с order=0
        ОТЛАДКА: get_group_items добавлен sb2c_4 с order=1
        ОТЛАДКА: get_group_items добавлен pbj_1j с order=0
        ОТЛАДКА: get_group_items добавлен pbj_1h с order=1
        ОТЛАДКА: get_group_items добавлен a-26b_10 с order=0
        ОТЛАДКА: get_group_items добавлен a-26b с order=1
        ОТЛАДКА: get_group_items добавлен douglas_ad_2 с order=0
        ОТЛАДКА: get_group_items добавлен douglas_ad_4 с order=1
        ОТЛАДКА: get_group_items добавлен am_1_mauler с order=2
        ОТЛАДКА: get_group_items добавлен a_4b с order=0
        ОТЛАДКА: get_group_items добавлен fj_4b с order=1
        ОТЛАДКА: get_group_items добавлен a_7d с order=0
        ОТЛАДКА: get_group_items добавлен a_7e с order=1
        ОТЛАДКА: get_group_items добавлен tbd-1_1938 с order=0
        ОТЛАДКА: get_group_items добавлен b_18a с order=1
        ОТЛАДКА: get_group_items добавлен pby-5 с order=0
        ОТЛАДКА: get_group_items добавлен pby-5a с order=1
        ОТЛАДКА: get_group_items добавлен b-17e с order=0
        ОТЛАДКА: get_group_items добавлен b-17e_late с order=1
        ОТЛАДКА: get_group_items добавлен b-17g с order=0
        ОТЛАДКА: get_group_items добавлен b_24d с order=1
        ОТЛАДКА: get_group_items добавлен b-57 с order=0
        ОТЛАДКА: get_group_items добавлен b-57b с order=1
        ОТЛАДКА: Элемент группы giftParam имеет тип <class 'str'>: charServer/entitlement/usa_pacific_41_43
        ОТЛАДКА: get_group_items добавлен giftParam с order=0
        ОТЛАДКА: get_group_items добавлен us_cruiser_fargo_class с order=0
        ОТЛАДКА: get_group_items добавлен us_cruiser_brooklyn_class_brooklyn с order=1
        ОТЛАДКА: get_group_items добавлен us_cruiser_northampton_class с order=0
        ОТЛАДКА: get_group_items добавлен us_cruiser_portland_class с order=1
        ОТЛАДКА: get_group_items добавлен us_cruiser_pensacola_class с order=2
        ОТЛАДКА: Элемент группы futureReqAir имеет тип <class 'str'>: us_huckins_78ft_pt95
        ОТЛАДКА: get_group_items добавлен futureReqAir с order=0
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_38t_ausf_F с order=0
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_38t_na с order=1
        ОТЛАДКА: get_group_items добавлен germ_pzsfl_IVa_dickermax с order=0
        ОТЛАДКА: get_group_items добавлен germ_pzsflk40_sturer_emil с order=1
        ОТЛАДКА: get_group_items добавлен germ_sdkfz_9_flak37 с order=0
        ОТЛАДКА: get_group_items добавлен germ_m44 с order=1
        ОТЛАДКА: get_group_items добавлен germ_panzerjager_nashorn с order=0
        ОТЛАДКА: get_group_items добавлен germ_waffentrager_krupp_steyr с order=1
        ОТЛАДКА: get_group_items добавлен germ_marder_1a1 с order=0
        ОТЛАДКА: get_group_items добавлен germ_bmp_1_ddr с order=1
        ОТЛАДКА: get_group_items добавлен germ_marder_1a3 с order=0
        ОТЛАДКА: get_group_items добавлен germ_marder_df_105 с order=1
        ОТЛАДКА: get_group_items добавлен germ_thyssen_henschel_tam с order=0
        ОТЛАДКА: get_group_items добавлен germ_sk105_a2 с order=1
        ОТЛАДКА: get_group_items добавлен germ_radpanzer_90 с order=0
        ОТЛАДКА: get_group_items добавлен germ_thyssen_henschel_tam_2c с order=1
        ОТЛАДКА: get_group_items добавлен germ_schutzenpanzer_puma с order=0
        ОТЛАДКА: get_group_items добавлен germ_schutzenpanzer_puma_vjtf с order=1
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_III_ausf_E с order=0
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_III_ausf_B с order=1
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_III_ausf_L с order=0
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_III_ausf_M с order=1
        ОТЛАДКА: get_group_items добавлен germ_kpz_70 с order=0
        ОТЛАДКА: get_group_items добавлен germ_mkpz_super_m48 с order=1
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_II_ausf_C с order=0
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_II_ausf_F с order=1
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_IV_ausf_E с order=0
        ОТЛАДКА: get_group_items добавлен germ_pzkpfw_IV_ausf_F с order=1
