external_id,name,name_eng,country,battle_rating,silver,rank,vehicle_category,type,required_exp,tech_category,image_url,parent_external_id,column,row,order_in_folder
us_m2a4,M2A4,M2A4,usa,1.0,0,1,Наземная техника,vehicle,,standard,https://static.encyclopedia.warthunder.com/slots/us_m2a4.png,,0,0,
us_m3_stuart,M3 Stuart,M3 Stuart,usa,2.0,700,1,Наземная техника,vehicle,2900,standard,https://static.encyclopedia.warthunder.com/slots/us_m3_stuart.png,us_m2a4,0,1,
us_m3a1_stuart,M3A1 Stuart,M3A1 Stuart,usa,2.3,6300,1,Наземная техника,vehicle,5900,standard,https://static.encyclopedia.warthunder.com/slots/us_m3a1_stuart.png,us_m3_stuart,0,2,
us_m5a1_stuart,M5A1,M5A1,usa,2.7,10000,2,Наземная техника,vehicle,7900,standard,https://static.encyclopedia.warthunder.com/slots/us_m5a1_stuart.png,,0,0,
us_m24_chaffee,M24,M24,usa,3.7,22000,2,Наземная техника,vehicle,11000,standard,https://static.encyclopedia.warthunder.com/slots/us_m24_chaffee.png,us_m5a1_stuart,0,1,
us_m18_hellcat,M18 GMC,M18 GMC,usa,6.0,135000,3,Наземная техника,vehicle,40000,standard,https://static.encyclopedia.warthunder.com/slots/us_m18_hellcat.png,us_m24_chaffee,0,0,
us_m41_walker_bulldog,M41A1,M41A1,usa,6.3,155000,4,Наземная техника,vehicle,46000,standard,https://static.encyclopedia.warthunder.com/slots/us_m41_walker_bulldog.png,us_m18_hellcat,0,0,
us_t92,T92,T92,usa,7.0,210000,4,Наземная техника,vehicle,71000,standard,https://static.encyclopedia.warthunder.com/slots/us_t92.png,us_m41_walker_bulldog,0,1,
us_m551,M551,M551,usa,8.0,340000,5,Наземная техника,vehicle,120000,standard,https://static.encyclopedia.warthunder.com/slots/us_m551.png,us_t92,0,0,
us_xm_800t,XM800T,XM800T,usa,8.7,380000,6,Наземная техника,vehicle,135000,standard,https://static.encyclopedia.warthunder.com/slots/us_xm_800t.png,us_m551,0,0,
us_m3_bradley,M3 Bradley,M3 Bradley,usa,8.3,450000,6,Наземная техника,vehicle,160000,standard,https://static.encyclopedia.warthunder.com/slots/us_m3_bradley.png,us_xm_800t,0,1,
us_stingray,Stingray,Stingray,usa,9.3,620000,6,Наземная техника,vehicle,220000,standard,https://static.encyclopedia.warthunder.com/slots/us_stingray.png,us_m3_bradley,0,2,
us_m3a3_bradley,M3A3 Bradley,M3A3 Bradley,usa,10.0,710000,7,Наземная техника,vehicle,260000,standard,https://static.encyclopedia.warthunder.com/slots/us_m3a3_bradley.png,us_stingray,0,0,
us_hstv_l,HSTV-L,HSTV-L,usa,11.7,950000,7,Наземная техника,vehicle,350000,standard,https://static.encyclopedia.warthunder.com/slots/us_hstv_l.png,us_m3a3_bradley,0,1,
us_m2_medium,M2,M2,usa,1.3,700,1,Наземная техника,vehicle,2900,standard,https://static.encyclopedia.warthunder.com/slots/us_m2_medium.png,,1,0,
us_m3_lee,M3 Lee,M3 Lee,usa,2.7,10000,2,Наземная техника,vehicle,7900,standard,https://static.encyclopedia.warthunder.com/slots/us_m3_lee.png,,1,0,
us_sherman_group,M4A1/M4/M4A2,M4A1/M4/M4A2,usa,,,2,Наземная техника,folder,,standard,https://static.encyclopedia.warthunder.com/slots/us_sherman_group.png,us_m3_lee,1,1,
us_m4a1_1942_sherman,M4A1,M4A1,usa,3.3,16000,2,Наземная техника,vehicle,9200,standard,https://static.encyclopedia.warthunder.com/slots/us_m4a1_1942_sherman.png,us_sherman_group,1,1,0
us_m4_sherman,M4,M4,usa,3.7,22000,2,Наземная техника,vehicle,5600,standard,https://static.encyclopedia.warthunder.com/slots/us_m4_sherman.png,us_m4a1_1942_sherman,1,1,1
us_m4a2_sherman,M4A2,M4A2,usa,4.0,32000,2,Наземная техника,vehicle,6900,standard,https://static.encyclopedia.warthunder.com/slots/us_m4a2_sherman.png,us_m4_sherman,1,1,2
us_m4a1_76w_sherman,M4A1 (76) W,M4A1 (76) W,usa,5.0,47000,3,Наземная техника,vehicle,18000,standard,https://static.encyclopedia.warthunder.com/slots/us_m4a1_76w_sherman.png,us_sherman_group,1,0,
us_sherman_76w_group,M4 76(W) A2/A3,M4 76(W) A2/A3,usa,,,3,Наземная техника,folder,,standard,https://static.encyclopedia.warthunder.com/slots/us_sherman_76w_group.png,us_m4a1_76w_sherman,1,1,
us_m4a2_76w_sherman,M4A2 (76) W,M4A2 (76) W,usa,5.3,105000,3,Наземная техника,vehicle,33000,standard,https://static.encyclopedia.warthunder.com/slots/us_m4a2_76w_sherman.png,us_sherman_76w_group,1,1,0
us_m4a3e8_76w_sherman,M4A3 (76) W,M4A3 (76) W,usa,5.7,135000,3,Наземная техника,vehicle,20000,standard,https://static.encyclopedia.warthunder.com/slots/us_m4a3e8_76w_sherman.png,us_m4a2_76w_sherman,1,1,1
us_t26_t25_group,M4 T26/T25,M4 T26/T25,usa,,,4,Наземная техника,folder,,standard,https://static.encyclopedia.warthunder.com/slots/us_t26_t25_group.png,us_sherman_76w_group,1,0,
us_m4_t26,M4/T26,M4/T26,usa,6.0,155000,4,Наземная техника,vehicle,46000,standard,https://static.encyclopedia.warthunder.com/slots/us_m4_t26.png,us_t26_t25_group,1,0,0
us_t25,T25,T25,usa,6.3,185000,4,Наземная техника,vehicle,27000,standard,https://static.encyclopedia.warthunder.com/slots/us_t25.png,us_m4_t26,1,0,1
us_m26_pershing,M26,M26,usa,6.7,200000,4,Наземная техника,vehicle,63000,standard,https://static.encyclopedia.warthunder.com/slots/us_m26_pershing.png,us_t26_t25_group,1,1,
us_m46_patton,M46,M46,usa,7.0,210000,4,Наземная техника,vehicle,71000,standard,https://static.encyclopedia.warthunder.com/slots/us_m46_patton.png,us_m26_pershing,1,2,
us_m47_48_group,M47/M48,M47/M48,usa,,,5,Наземная техника,folder,,standard,https://static.encyclopedia.warthunder.com/slots/us_m47_48_group.png,us_m46_patton,1,0,
us_m47_patton_ii,M47,M47,usa,7.3,240000,5,Наземная техника,vehicle,82000,standard,https://static.encyclopedia.warthunder.com/slots/us_m47_patton_ii.png,us_m47_48_group,1,0,0
us_m48a1_patton_iii,M48A1,M48A1,usa,7.7,270000,5,Наземная техника,vehicle,48000,standard,https://static.encyclopedia.warthunder.com/slots/us_m48a1_patton_iii.png,us_m47_patton_ii,1,0,1
us_m60,M60,M60,usa,8.0,340000,5,Наземная техника,vehicle,120000,standard,https://static.encyclopedia.warthunder.com/slots/us_m60.png,us_m47_48_group,1,1,
us_m60_group,M60A1 AOS/RISE,M60A1 AOS/RISE,usa,,,6,Наземная техника,folder,,standard,https://static.encyclopedia.warthunder.com/slots/us_m60_group.png,us_m60,1,0,
us_m60a1,M60A1 (AOS),M60A1 (AOS),usa,8.3,380000,6,Наземная техника,vehicle,135000,standard,https://static.encyclopedia.warthunder.com/slots/us_m60a1.png,us_m60_group,1,0,0
us_m60a1_rise_passive_era,M60A1 RISE (P),M60A1 RISE (P),usa,8.7,450000,6,Наземная техника,vehicle,81000,standard,https://static.encyclopedia.warthunder.com/slots/us_m60a1_rise_passive_era.png,us_m60a1,1,0,1
us_m60a3_tts,M60A3 TTS,M60A3 TTS,usa,9.0,520000,6,Наземная техника,vehicle,190000,standard,https://static.encyclopedia.warthunder.com/slots/us_m60a3_tts.png,us_m60_group,1,1,
us_m60_120s,120S,120S,usa,10.3,710000,7,Наземная техника,vehicle,260000,standard,https://static.encyclopedia.warthunder.com/slots/us_m60_120s.png,us_m60a3_tts,1,0,
us_m1a1_hc_abrams,M1A1 HC,M1A1 HC,usa,11.7,950000,7,Наземная техника,vehicle,350000,standard,https://static.encyclopedia.warthunder.com/slots/us_m1a1_hc_abrams.png,us_m60_120s,1,1,
us_lvt_a_1,LVT(A)(1),LVT(A)(1),usa,1.0,0,1,Наземная техника,vehicle,,standard,https://static.encyclopedia.warthunder.com/slots/us_lvt_a_1.png,,2,0,
us_m22_locust,M22,M22,usa,2.0,2100,1,Наземная техника,vehicle,4000,standard,https://static.encyclopedia.warthunder.com/slots/us_m22_locust.png,us_lvt_a_1,2,1,
us_m6_group,M6A1/T1E1,M6A1/T1E1,usa,,,3,Наземная техника,folder,,standard,https://static.encyclopedia.warthunder.com/slots/us_m6_group.png,,2,0,
us_m6a1,M6A1,M6A1,usa,5.0,76000,3,Наземная техника,vehicle,26000,standard,https://static.encyclopedia.warthunder.com/slots/us_m6a1.png,us_m6_group,2,0,0
us_t1e1,T1E1,T1E1,usa,5.3,105000,3,Наземная техника,vehicle,17000,standard,https://static.encyclopedia.warthunder.com/slots/us_t1e1.png,us_m6a1,2,0,1
us_m4a3e2_sherman_jumbo,M4A3E2,M4A3E2,usa,5.7,105000,3,Наземная техника,vehicle,33000,standard,https://static.encyclopedia.warthunder.com/slots/us_m4a3e2_sherman_jumbo.png,us_m6_group,2,1,
us_t1e1_90,T1E1 (90),T1E1 (90),usa,5.7,135000,3,Наземная техника,vehicle,40000,standard,https://static.encyclopedia.warthunder.com/slots/us_t1e1_90.png,us_m4a3e2_sherman_jumbo,2,2,
us_m4a3e2_76w_sherman_jumbo,M4A3E2 (76) W,M4A3E2 (76) W,usa,6.3,155000,4,Наземная техника,vehicle,46000,standard,https://static.encyclopedia.warthunder.com/slots/us_m4a3e2_76w_sherman_jumbo.png,us_t1e1_90,2,0,
us_t26_group,T26 E5/E1-1,T26 E5/E1-1,usa,,,4,Наземная техника,folder,,standard,https://static.encyclopedia.warthunder.com/slots/us_t26_group.png,us_m4a3e2_76w_sherman_jumbo,2,1,
us_t26e5,T26E5,T26E5,usa,6.7,185000,4,Наземная техника,vehicle,54000,standard,https://static.encyclopedia.warthunder.com/slots/us_t26e5.png,us_t26_group,2,1,0
us_t26e4_superpershing,T26E1-1,T26E1-1,usa,6.7,200000,4,Наземная техника,vehicle,31000,standard,https://static.encyclopedia.warthunder.com/slots/us_t26e4_superpershing.png,us_t26e5,2,1,1
us_t34,T34,T34,usa,6.7,210000,4,Наземная техника,vehicle,71000,standard,https://static.encyclopedia.warthunder.com/slots/us_t34.png,us_t26_group,2,2,
us_t32_group,T32/T32E1,T32/T32E1,usa,,,5,Наземная техника,folder,,standard,https://static.encyclopedia.warthunder.com/slots/us_t32_group.png,us_t34,2,0,
us_t32,T32,T32,usa,7.3,240000,5,Наземная техника,vehicle,82000,standard,https://static.encyclopedia.warthunder.com/slots/us_t32.png,us_t32_group,2,0,0
